ID,IKZ COST,NAME,ELEMENT,TYPE,SUBTYPE_1,SUBTYPE_2,SUBTYPE_3,GATE_PWR,ATK,HP,PLUS_ATK,REF_IP,REF_ID,REF_IP2,REF_ID2,RARITY,ILLUSTRATOR,E_1,E_1_TEXT,E_2,E_2_TEXT,F_TEXT,DEFINITION_TEXT,RULING_TEXT,STAMP,IMG,ALT_IMG,ROW_KEY,SOURCE_RELEASE,SOURCE_ENTRY_ID,SETS,IMAGE_URL,FIELD_SOURCE,MISSING_ALPHA_FIELDS,REVIEW_STATUS
AZK01-011,3,Rooftop Hunter,Neutral,Entity,Steelborn,,,1,2,1,,Azuki,92,,,C,Volta,Charge,,Garden Only Ability,"If this card is untapped at the end of your turn, sacrifice it.","The hunt doesn't start with noise, it starts with silence.",Charge,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-011_Rooftop-Hunter_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-011_Rooftop-Hunter_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-011_Rooftop-Hunter_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-011_Rooftop-Hunter_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_1_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-012,4,Ed,Neutral,Entity,BEANZ,,,1,3,3,,BEANZ,141,,,C,Pandart Studio,,,,,"Pain makes Ed grow. Growing is what Ed wants. Therefore, for Ed, pain is pleasure.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-012_Ed_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-012_Ed_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-012_Ed_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-012_Ed_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_1; E_1_TEXT; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-013,5,Gou the Iron Judge,Neutral,Entity,Fatedealer,,,1,3,3,,Azuki,83,,,UC,Azuki Art Team,On Play,Your opponent chooses 1— • Sacrifice an entity in their Garden. • Discard 2.,,,,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-013_Gou-the-Iron-Judge_E_UC_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-013_Gou-the-Iron-Judge_E_UC_die,alpha_master_sheet_crosswalk,S1-AZK01-013_Gou-the-Iron-Judge_E_UC_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-013_Gou-the-Iron-Judge_E_UC_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; F_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-014,5,Trade Guild Cavalry,Neutral,Entity,Samurai,Invigorate,,2,3,3,,Azuki,70,,,R,Tomugi,When Attacking,Give another entity in your Garden +2 attack until the end of your turn.,,,,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-014_Trade-Guild-Cavalry_E_R_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-014_Trade-Guild-Cavalry_E_R_die,alpha_master_sheet_crosswalk,S1-AZK01-014_Trade-Guild-Cavalry_E_R_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-014_Trade-Guild-Cavalry_E_R_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; F_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-015,6,Mo,Neutral,Entity,Dawnling,Fox Fire,,1,4,4,,Azuki,4885,,,SR,Pandart Studio,On Play,If your leader is— • WaterElementIcon: untap 1 IKZ. • EarthElementIcon: heal 2 to your leader. • LightningElementIcon: gain Charge. • FireElementIcon: deal 2 damage to target leader.,,,,Charge,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-015_Mo_E_SR_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-015_Mo_E_SR_die,alpha_master_sheet_crosswalk,S1-AZK01-015_Mo_E_SR_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-015_Mo_E_SR_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; F_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-016,1,Sleight of Hand,Neutral,Spell,Trickster,,,,,,,Azuki,157,,,C,Volta,Main,"Draw 2, then discard 2.",,,"A blink of an eye, and the impossible becomes possible.",,Spell,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-016_Sleight-of-Hand_S_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-016_Sleight-of-Hand_S_C_die,alpha_master_sheet_crosswalk,S1-AZK01-016_Sleight-of-Hand_S_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-016_Sleight-of-Hand_S_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; GATE_PWR; ATK; HP; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; ALT_IMG,sheet_sourced
AZK01-017,2,Hook Sword Strike,Neutral,Spell,Steelborn,,,,,,,Azuki,11,,,UC,Volta,Main,Deal up to 1 damage to an entity in any Garden and up to 1 damage to a leader.,,,Two blades flash in unison. No target slips through.,,Spell,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-017_Hook-Sword-Strike_S_UC_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-017_Hook-Sword-Strike_S_UC_die,alpha_master_sheet_crosswalk,S1-AZK01-017_Hook-Sword-Strike_S_UC_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-017_Hook-Sword-Strike_S_UC_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; GATE_PWR; ATK; HP; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; ALT_IMG,sheet_sourced
AZK01-018,4,Monk Staff of Warding,Neutral,Weapon,Staff,,,,,,3,,,,,C,Pandart Studio,,Leaders equipped with this card take 1 less damage from combat.,,,"More than aggression, the staff is a shield for the innocent and a barrier against darkness.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-018_Monk-Staff-of-Warding_W_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-018_Monk-Staff-of-Warding_W_C_die,alpha_master_sheet_crosswalk,S1-AZK01-018_Monk-Staff-of-Warding_W_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-018_Monk-Staff-of-Warding_W_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; GATE_PWR; ATK; HP; REF_IP; REF_ID; REF_IP2; REF_ID2; E_1; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-019,3,Jay,Neutral,Entity,BEANZ,,,1,2,1,,BEANZ,101,,,C,nJoo,,"If you only have NeutralElementIcon entities in your Garden, this card has +2 health.",,,,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-019_Jay_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-019_Jay_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-019_Jay_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-019_Jay_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_1; E_2; E_2_TEXT; F_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-020,3,Power of Friendship,Neutral,Spell,BEANZ,JD,,,,,,Azuki,157,BEANZ,101,R,Skycrow,Main,Give 2 entities in your Garden each +1 attack until the end of the turn.,Response,Give 2 entities in your Garden each +1 health until the end of the turn.,,,Response,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-020_Power-of-Friendship_S_R_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-020_Power-of-Friendship_S_R_die,alpha_master_sheet_crosswalk,S1-AZK01-020_Power-of-Friendship_S_R_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-020_Power-of-Friendship_S_R_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; GATE_PWR; ATK; HP; PLUS_ATK; F_TEXT; DEFINITION_TEXT; ALT_IMG,sheet_sourced
AZK01-021,1,Mizuto,Water,Entity,Wavecaller,,,1,1,1,,,,,,C,Pandart Studio,On Play,"Look at the top 5 cards of your deck, reveal up to 1 Driftward card and add it to your hand, then bottom deck the rest in any order.",,,"Remember, Maho: Cast wide, and hold tight to catch that turns the tide.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-021_Mizuto_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-021_Mizuto_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-021_Mizuto_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-021_Mizuto_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-022,2,Mirage Frog,Water,Entity,Frog,Watercrafting,Rippleborn,1,1,2,,,,,,UC,Pandart Studio,On Play,You may discard 1: Return an entity with a cost of ❷ or less in any Garden to its owner's hand.,,,,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-022_Mirage-Frog_E_UC_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-022_Mirage-Frog_E_UC_die,alpha_master_sheet_crosswalk,S1-AZK01-022_Mirage-Frog_E_UC_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-022_Mirage-Frog_E_UC_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; F_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-023,3,Maho,Water,Entity,Wavecaller,,,1,1,2,,,,,,C,Pandart Studio,Garden Only Ability,,End of Your Turn,"If you have 2 or less cards in your hand, draw 1.","Out here with big bro, the horizon always feels within reach.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-023_Maho_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-023_Maho_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-023_Maho_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-023_Maho_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_1_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-024,3,Fumiko,Water,Entity,Watercrafting,Water Painter,,1,1,2,,,,,,UC,Azuki Art Team,On Play,You may return an entity in your Garden to your hand: Play an entity with a cost of ❷ or less from your hand.,,,"With every stroke, the water flows and bends to my will.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-024_Fumiko_E_UC_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-024_Fumiko_E_UC_die,alpha_master_sheet_crosswalk,S1-AZK01-024_Fumiko_E_UC_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-024_Fumiko_E_UC_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-025,4,Lighthouse Keeper,Water,Entity,Elder,Driftward,,0,0,3,,,,,,UC,Pandart Studio,Defender,This card cannot take damage from card effects.,,,"Through wind and rain, the light must shine for those who sail home.",Defender,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-025_Lighthouse-Keeper_E_UC_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-025_Lighthouse-Keeper_E_UC_die,alpha_master_sheet_crosswalk,S1-AZK01-025_Lighthouse-Keeper_E_UC_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-025_Lighthouse-Keeper_E_UC_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-026,5,Moonlit Crane,Water,Entity,Bird,Driftward,Rippleborn,2,3,3,,,,,,C,Pandart Studio,Response,,Once/Turn,You may discard 1: Reduce a leader's or an entity's attack by 1 until the end of the turn.,"In the hush of night, it's presence is both ethereal and eternal.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-026_Moonlit-Crane_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-026_Moonlit-Crane_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-026_Moonlit-Crane_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-026_Moonlit-Crane_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_1_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-027,6,Kaiya Mizumi,Water,Entity,Wavecaller,,,3,4,4,,,,,,R,Comiccho,On Play,You may discard any number of cards: Draw that many cards,,,,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-027_Kaiya-Mizumi_E_R_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-027_Kaiya-Mizumi_E_R_die,alpha_master_sheet_crosswalk,S1-AZK01-027_Kaiya-Mizumi_E_R_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-027_Kaiya-Mizumi_E_R_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; F_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-028,8,Soryu no Rin,Water,Entity,Wavecaller,Watercrating,,2,7,7,,Azuki,0,,,SR,Comiccho,On Play,You must discard your hand: Return all other entities in each player's Garden to their owner's hands.,,,"I am the strom before the calm, the wave that breaks all defenses.",,,Alpha,https://static-content.azuki.com/tcg/card_art/AZK01-028A_Soryu-no-Rin_E_SR_Die.jpg,,azuki_tcg_official_gallery:AZK01-028A_Soryu-no-Rin_E_SR_Die,alpha_master_sheet_crosswalk,AZK01-028A_Soryu-no-Rin_E_SR_Die,Alpha,https://static-content.azuki.com/tcg/card_art/AZK01-028A_Soryu-no-Rin_E_SR_Die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-028,8,Soryu no Rin,Water,Entity,Wavecaller,Watercrating,,2,7,7,,Azuki,0,,,SR,Comiccho,On Play,You must discard your hand: Return all other entities in each player's Garden to their owner's hands.,,,"I am the strom before the calm, the wave that breaks all defenses.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-028_Soryu-no-Rin_E_SR_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-028_Soryu-no-Rin_E_SR_die,alpha_master_sheet_crosswalk,S1-AZK01-028_Soryu-no-Rin_E_SR_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-028_Soryu-no-Rin_E_SR_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-029,0,Aquatic Veil,Water,Spell,Aquashield,,,,,,,,,,,R,Pandart Studio,Response,Discard 2: Reduce a leader's or an entity's attack by 3 until the end of the turn.,,,Let the currents sap your will and weaken your strike.,,Response,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-029_Aquatic-Veil_S_R_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-029_Aquatic-Veil_S_R_die,alpha_master_sheet_crosswalk,S1-AZK01-029_Aquatic-Veil_S_R_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-029_Aquatic-Veil_S_R_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; GATE_PWR; ATK; HP; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; ALT_IMG,sheet_sourced
AZK01-030,1,Lotus of Paradise,Water,Spell,Watercrafting,Lotus,,,,,,,,,,C,Pandart Studio,Response,Untap up to 2 IKZ.,,,"The lotus of Paradise blooms where peace reigns, its petals unlocking the soul's true light.",,Response,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-030_Lotus-of-Paradise_S_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-030_Lotus-of-Paradise_S_C_die,alpha_master_sheet_crosswalk,S1-AZK01-030_Lotus-of-Paradise_S_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-030_Lotus-of-Paradise_S_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; GATE_PWR; ATK; HP; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; ALT_IMG,sheet_sourced
