AUDIT_ROW_ID,AUDIT_STATUS,SEVERITY,REFERENCE_IMAGE_POLICY,STAMP_FIELD_POLICY,ISSUE_CODES,RECOMMENDED_ACTION,UID,CARD_ID,NORMALIZED_CARD_ID,NAME,SETS,SOURCE_ENTRY_ID,IMAGE_BASENAME,IMAGE_URL_PRESENT,GALLERY_RARITY,COMPLETION_RARITY,COMPLETION_STAMP,FIELD_SOURCE,SOURCE_PREFIX_CARD_ID,SOURCE_PREFIX_SUFFIX,SOURCE_CARD_ID_MATCHES_GALLERY,IMAGE_REUSED_WITH_UIDS,IMAGE_REUSED_WITH_DIFFERENT_ROW_STATE,NOTES
reference-image-audit-016,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:STT01-001A_Raizan_L_AA_Die,STT01-001,STT01-001,Raizan,Booster,STT01-001A_Raizan_L_AA_Die,STT01-001A_Raizan_L_AA_Die.jpg,true,L ★,L,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-001,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-017,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-002_Surge-Gate_G_G_die,STT01-002,STT01-002,Surge Gate,Starter Deck 1,S1-STT01-002_Surge-Gate_G_G_die,S1-STT01-002_Surge-Gate_G_G_die.jpg,true,G,G,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-002,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-018,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:STT01-002A_Surge-Gate_G_die,STT01-002,STT01-002,Surge Gate,Booster,STT01-002A_Surge-Gate_G_die,STT01-002A_Surge-Gate_G_die.jpg,true,G ★,G,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-002,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-019,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-003_Crate-Rat-Kurobo_E_C_die,STT01-003,STT01-003,Crate Rat Kurobo,Starter Deck 1,S1-STT01-003_Crate-Rat-Kurobo_E_C_die,S1-STT01-003_Crate-Rat-Kurobo_E_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-003,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-020,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-004_Black-Jade-Recruit_E_C_die,STT01-004,STT01-004,Black Jade Recruit,Starter Deck 1,S1-STT01-004_Black-Jade-Recruit_E_C_die,S1-STT01-004_Black-Jade-Recruit_E_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-004,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-021,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-005_Alpine-Prowler_E_C_die,STT01-005,STT01-005,Alpine Prowler,Starter Deck 1,S1-STT01-005_Alpine-Prowler_E_C_die,S1-STT01-005_Alpine-Prowler_E_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-005,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-022,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-006_Silver-Current-Haruhi_E_R_die,STT01-006,STT01-006,"Silver Current, Haruhi",Starter Deck 1,S1-STT01-006_Silver-Current-Haruhi_E_R_die,S1-STT01-006_Silver-Current-Haruhi_E_R_die.jpg,true,R,R,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-006,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-023,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-007_Alley-Guy_E_C_die,STT01-007,STT01-007,Alley Guy,Starter Deck 1,S1-STT01-007_Alley-Guy_E_C_die,S1-STT01-007_Alley-Guy_E_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-007,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-024,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-008_Black-Jade-Crewleader_E_UC_die,STT01-008,STT01-008,Black Jade Crewleader,Starter Deck 1,S1-STT01-008_Black-Jade-Crewleader_E_UC_die,S1-STT01-008_Black-Jade-Crewleader_E_UC_die.jpg,true,UC,UC,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-008,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-025,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-009_Mastersmith-Yamada_E_UC_die,STT01-009,STT01-009,Mastersmith Yamada,Starter Deck 1,S1-STT01-009_Mastersmith-Yamada_E_UC_die,S1-STT01-009_Mastersmith-Yamada_E_UC_die.jpg,true,UC,UC,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-009,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-026,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-010_Indra_E_R_die,STT01-010,STT01-010,Indra,Starter Deck 1,S1-STT01-010_Indra_E_R_die,S1-STT01-010_Indra_E_R_die.jpg,true,R,R,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-010,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-027,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-011_Raizan_E_SR_die,STT01-011,STT01-011,Raizan,Starter Deck 1,S1-STT01-011_Raizan_E_SR_die,S1-STT01-011_Raizan_E_SR_die.jpg,true,SR,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-011,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-028,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:STT01-011A_Raizan_E_SR_die,STT01-011,STT01-011,Raizan,Booster,STT01-011A_Raizan_E_SR_die,STT01-011A_Raizan_E_SR_die.jpg,true,SR ★,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-011,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-029,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-012_Lightning-Shuriken_W_C_die,STT01-012,STT01-012,Lightning Shuriken,Starter Deck 1,S1-STT01-012_Lightning-Shuriken_W_C_die,S1-STT01-012_Lightning-Shuriken_W_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-012,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-030,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-013_Black-Jade-Dagger_W_C_die,STT01-013,STT01-013,Black Jade Dagger,Starter Deck 1,S1-STT01-013_Black-Jade-Dagger_W_C_die,S1-STT01-013_Black-Jade-Dagger_W_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-013,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-031,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-014_Tenshin_W_C_die,STT01-014,STT01-014,Tenshin,Starter Deck 1,S1-STT01-014_Tenshin_W_C_die,S1-STT01-014_Tenshin_W_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-014,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-032,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-015_Tenraku_W_UC_die,STT01-015,STT01-015,Tenraku,Starter Deck 1,S1-STT01-015_Tenraku_W_UC_die,S1-STT01-015_Tenraku_W_UC_die.jpg,true,UC,UC,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-015,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-033,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-016_Ikazuchi_W_SR_die,STT01-016,STT01-016,Ikazuchi,Starter Deck 1,S1-STT01-016_Ikazuchi_W_SR_die,S1-STT01-016_Ikazuchi_W_SR_die.jpg,true,SR,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-016,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-034,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:STT01-016A_Ikazuchi_W_SR_die,STT01-016,STT01-016,Ikazuchi,Booster,STT01-016A_Ikazuchi_W_SR_die,STT01-016A_Ikazuchi_W_SR_die.jpg,true,SR ★,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-016,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-035,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-017_Lightning-Orb_S_UC_die,STT01-017,STT01-017,Lightning Orb,Starter Deck 1,S1-STT01-017_Lightning-Orb_S_UC_die,S1-STT01-017_Lightning-Orb_S_UC_die.jpg,true,UC,UC,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-017,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-036,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row; completion_row_missing_gallery_star,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT02-001AX_Shao_L_INV26-TOP8_die,STT02-001,STT02-001,Shao,Promo,S1-STT02-001AX_Shao_L_INV26-TOP8_die,S1-STT02-001AX_Shao_L_INV26-TOP8_die.jpg,true,L ★,L,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-001,AX,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row. Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-037,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT02-001_Shao_L_L_die,STT02-001,STT02-001,Shao,Starter Deck 2,S1-STT02-001_Shao_L_L_die,S1-STT02-001_Shao_L_L_die.jpg,true,L,L,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-001,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-038,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:STT02-001A_Shao_L_AA_Die,STT02-001,STT02-001,Shao,Booster,STT02-001A_Shao_L_AA_Die,STT02-001A_Shao_L_AA_Die.jpg,true,L ★,L,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-001,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-039,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT02-002_Hydromancy-Gate_G_G_die,STT02-002,STT02-002,Hydromancy Gate,Starter Deck 2,S1-STT02-002_Hydromancy-Gate_G_G_die,S1-STT02-002_Hydromancy-Gate_G_G_die.jpg,true,G,G,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-002,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-040,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:STT02-002A_Hydromancy-Gate_G_die,STT02-002,STT02-002,Hydromancy Gate,Booster,STT02-002A_Hydromancy-Gate_G_die,STT02-002A_Hydromancy-Gate_G_die.jpg,true,G ★,G,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-002,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-041,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT02-003_Hayabusa-Itto_E_C_die,STT02-003,STT02-003,Hayabusa Itto,Starter Deck 2,S1-STT02-003_Hayabusa-Itto_E_C_die,S1-STT02-003_Hayabusa-Itto_E_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-003,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-042,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT02-004_Rei_E_C_die,STT02-004,STT02-004,Rei,Starter Deck 2,S1-STT02-004_Rei_E_C_die,S1-STT02-004_Rei_E_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-004,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-043,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT02-005_Hayabusa-Saburo_E_UC_die,STT02-005,STT02-005,Hayabusa Saburo,Starter Deck 2,S1-STT02-005_Hayabusa-Saburo_E_UC_die,S1-STT02-005_Hayabusa-Saburo_E_UC_die.jpg,true,UC,UC,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-005,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-044,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT02-006_Foamback-Crab_E_C_die,STT02-006,STT02-006,Foamback Crab,Starter Deck 2,S1-STT02-006_Foamback-Crab_E_C_die,S1-STT02-006_Foamback-Crab_E_C_die.jpg,true,C,C,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT02-006,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
