"ID","IKZ COST","NAME","ELEMENT","TYPE","SUBTYPE_1","SUBTYPE_2","SUBTYPE_3","GATE_PWR","ATK","HP","PLUS_ATK","REF_IP","REF_ID","REF_IP2","REF_ID2","RARITY","ILLUSTRATOR","E_1","E_1_TEXT","E_2","E_2_TEXT","F_TEXT","DEFINITION_TEXT","RULING_TEXT","STAMP","IMG","ALT_IMG","",""
"AZK01-024","3","Fumiko","Water","Entity","Watercrafting","Water Painter","-","1","1","2","-","N/A","-","N/A","-","UC","Azuki Art Team","On Play","You may return an entity in your Garden to your hand: Play an entity with a cost of ❷ or less from your hand.","N/A","-","With every stroke, the water flows and bends to my will.","-","-","Alpha","","-","",""
"AZK01-025","4","Lighthouse Keeper","Water","Entity","Elder","Driftward","-","0","0","3","-","N/A","-","N/A","-","UC","Pandart Studio","Defender","This card cannot take damage from card effects.","N/A","-","Through wind and rain, the light must shine for those who sail home.","Defender","-","Alpha","","-","",""
"AZK01-026","5","Moonlit Crane","Water","Entity","Bird","Driftward","Rippleborn","2","3","3","-","N/A","-","N/A","-","C","Pandart Studio","Response","-","Once/Turn","You may discard 1: Reduce a leader's or an entity's attack by 1 until the end of the turn.","In the hush of night, it's presence is both ethereal and eternal.","-","-","Alpha","","-","",""
"AZK01-027","6","Kaiya Mizumi","Water","Entity","Wavecaller","-","-","3","4","4","-","N/A","-","N/A","-","R","Comiccho","On Play","You may discard any number of cards: Draw that many cards","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-028","8","Soryu no Rin","Water","Entity","Wavecaller","Watercrating","-","2","7","7","-","Azuki","0","N/A","-","SR","Comiccho","On Play","You must discard your hand: Return all other entities in each player's Garden to their owner's hands.","N/A","-","I am the strom before the calm, the wave that breaks all defenses.","-","-","Alpha","","","",""
"AZK01-029","0","Aquatic Veil","Water","Spell","Aquashield","-","-","","","","-","N/A","-","N/A","-","R","Pandart Studio","Response","Discard 2: Reduce a leader's or an entity's attack by 3 until the end of the turn.","N/A","-","Let the currents sap your will and weaken your strike.","-","Response","Alpha","","-","",""
"AZK01-030","1","Lotus of Paradise","Water","Spell","Watercrafting","Lotus","-","","","","-","N/A","-","N/A","-","C","Pandart Studio","Response","Untap up to 2 IKZ.","N/A","-","The lotus of Paradise blooms where peace reigns, its petals unlocking the soul's true light.","-","Response","Alpha","","-","",""
"AZK01-031","1","Tidal Insight","Water","Spell","Sirencall","-","-","","","","-","N/A","-","N/A","-","UC","Pandart Studio","Main","Look at the top 3 cards of your deck, reveal up to 1 WaterElementIcon card and add it to your hand, then put the rest on the top or bottom of your deck in any order","N/A","-","-","-","Spell","Alpha","","-","",""
"AZK01-032","3","Rippling Recall","Water","Spell","Watercrafting","-","-","","","","-","N/A","-","N/A","-","C","Pandart Studio","Main","Return an entity with a cost of 2 or less in your Garden to your hand: Return up to 1 entity with a cost of 4 or less in your opponent's Garden to its owner's hand.","N/A","-","-","-","Spell","Alpha","","-","",""
"AZK01-033","1","Elder Hoshin","Lightning","Entity","Monk","Stormcaller","-","1","1","1","-","N/A","-","N/A","-","C","nJoo","On Play","Look at the top 5 cards of your deck, reveal up to 1 Steelborn card and add it to your hand, then bottom deck the rest in any order.","N/A","-","With every pulse of lightning, fate unravels before his third eye.","-","-","Alpha","","-","",""
"AZK01-034","2","Kira","Lightning","Entity","Voltguard","-","-","1","1","1","-","N/A","-","N/A","-","C","Comiccho","Alley Only Ability","When an entity in your Garden is attacked, you may swap that entity and this card, then make this card the new attack target.","N/A","-","Let the current decide your fate.","-","-","Alpha","","-","",""
"AZK01-035","2","Raimaru the Stolen","Lightning","Entity","Cat","Statue","Voltguard","0","1","1","-","N/A","-","N/A","-","UC","Pandart Studio","Defender","-","Response","This card can be played as a Response","-","Defender","-","Alpha","","-","",""
"AZK01-036","3","Denmu","Lightning","Entity","Bat","Shockcoil","-","1","2","2","-","N/A","-","N/A","-","UC","Pandart Studio","When Attacked","The attacking leader or entity becomes shocked","N/A","-","Stunned by the echo of terror's wings.","Shocked","-","Alpha","","-","",""
"AZK01-037","4","Stormcaller Tenkichi","Lightning","Entity","Riftwalk","Stormcaller","-","0","3","3","-","Elementals","17551","N/A","-","R","Pandart Studio","Charge","This card can attack entities in your opponent's Alley.","N/A","-","Let the skies break open and the storm consume.","Charge","-","Alpha","","-","",""
"AZK01-038","3","Riven Flashborne","Lightning","Entity","Riftwalk","-","-","1","2","2","-","N/A","-","N/A","-","R","DKANG!","N/A","This card can attack entities in your opponent's Alley.","N/A","-","Speed's my game and lightning's my fuel! Together, we're unstoppable!","-","-","Alpha","","-","",""
"AZK01-039","4","Piko","Lightning","Entity","Cat","Steelborn","-","0","2","3","-","N/A","-","N/A","-","C","Nohgo","When Equipped","Gain Charge","Charge","-","-","Charge","-","Alpha","","-","",""
"AZK01-040","5","Black Jade Vault Master","Lightning","Entity","Tiger","Black Jade","Voltguard","2","1","3","-","N/A","-","N/A","-","UC","Pandart Studio","Defender","-","When Attacked","Deal up to 1 damage to a leader.","-","Defender","-","Alpha","","-","",""
"AZK01-041","8","Wu Cha","Lightning","Entity","Steelborn","Fox Fire","-","2","7","7","-","Azuki","2851","N/A","-","SR","Pandart Studio","On Play","1 IKZ: Equip up to 2 Weapon cards with a cost of 2 or less from your discard pile to this card.","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-042","5","Thunderclap","Lightning","Spell","Stormcaller","-","-","","","","-","N/A","-","N/A","-","SR","Tomugi","Main","Deal 3 damage, 2 damage, and 1 damage to 3 different entities in your opponent's Garden.","N/A","-","Just like we practiced, my little friend...ready? Big clap!","-","Spell","Alpha","","","",""
"AZK01-043","2","Stormglass Daggers","Lightning","Weapon","Riftwalk","Dagger","-","","","","1","N/A","-","N/A","-","C","Pandart Studio","N/A","When equipped to a leader, the leader can attack entities in your opponent's Alley.","N/A","-","How far can you flee when the daggers' reach is endless.","-","Weapon","Alpha","","-","",""
"AZK01-044","3","Lightning Kanabō","Lightning","Weapon","Shockcoil","-","-","","","","2","N/A","-","N/A","-","R","Pandart Studio","","Leaders or entities equipped with this card apply Shocked to cards they deal damage to.","N/A","-","-","Shocked","Weapon","Alpha","","-","",""
"AZK01-045","1","Treetop Scout","Earth","Entity","Scout","-","-","1","1","1","-","Elementals","1088","N/A","-","C","Volta","On Play","Look at the top 5 cards of your deck, reveal up to 1 Obsidian card and add it to your hand, then bottom deck the rest in any order.","N/A","-","No worries, I've got eyes on the whole forest.","-","-","Alpha","","-","",""
"AZK01-046","1","Mina the Geomancer","Earth","Entity","Earthfury","-","-","0","1","1","-","Azuki","112","N/A","-","UC","Tomugi","Garden Only Ability","When this card enters the Garden, tap it. This entity never untaps.","Start of Your Turn","Deal up to 1 damage to a leader.","Sight is a gift, but the ground whispers truths beyond vision.","-","-","Alpha","","-","",""
"AZK01-047","2","Shiko the Priestess","Earth","Entity","Earthwarden","-","-","1","1","2","-","N/A","-","N/A","-","UC","Pandart Studio","Once/Turn","-","When Attacking","Heal 1 to your leader.","This stone carries the prayers of the Spirits, steady as the road beneath us.","-","-","Alpha","","-","",""
"AZK01-048","3","Kale","Earth","Entity","Obsidian","-","-","2","1","2","-","N/A","-","N/A","-","C","Will Murai","Carapace 1","-","N/A","-","I'm the mountain's fist! Steady, strong, and relentless.","Carapace","-","Alpha","","-","",""
"AZK01-049","3","Lone Journeyman","Earth","Entity","Earthwarden","-","-","1","1","2","-","Azuki","107","N/A","-","C","Volta","Defender","-","N/A","-","-","Defender","-","Alpha","","-","",""
"AZK01-050","4","Shroom Tender","Earth","Entity","BEANZ","Earthwarden","-","2","2","2","-","N/A","-","N/A","-","R","Nohgo","On Play","Heal 2 to your leader.","N/A","-","Pop this shroom and poof! no more ouchies!","-","-","Alpha","","-","",""
"AZK01-051","4","Chillax","Earth","Entity","Sloth","Earthwarden","-","2","1","3","-","N/A","-","N/A","-","UC","Pandart Studio","Defender","-","When Attacked","You may give another entity in your Garden +1 health until the end of the turn.","Bro, just take a sip of chill and let the good times roll.","Defender","-","Alpha","","-","",""
"AZK01-052","5","Yojin","Earth","Entity","Earthwarden","-","-","2","2","4","-","Elementals","17471","N/A","-","UC","Pandart Studio","Defender","If the number of entities in your Garden is less than the number of entities in your opponent's Garden, this card has Defender","N/A","-","-","Defender","-","Alpha","","-","",""
"AZK01-053","7","Geodust Smuggler","Earth","Entity","Obsidian","-","-","3","4","5","-","N/A","-","N/A","-","R","nJoo","Garden Only Ability","As long as this card is in play, all other entities in your Garden have +1 health.","N/A","-","Got these beauties fresh from that cave nobody's allowed to talk about *wink wink*.","-","-","Alpha","","-","",""
"AZK01-054","8","Teb Fea","Earth","Entity","Obsidian","-","-","2","7","7","-","Elementals","3137","N/A","-","SR","Tomugi","Godmode","-","N/A","-","-","-","-","Alpha","","","",""
"AZK01-055","2","Earth Orb","Earth","Spell","Earthfury","Orb","-","","","","-","N/A","-","N/A","-","C","Volta","Response","Deal up to 1 damage to a leader or an entity in your opponent's Garden and reduce that card's attack by 1 until the end of the turn.","N/A","-","-","-","Response","Alpha","","-","",""
"AZK01-056","1","Glass Blower, Hokuto","Fire","Entity","Firemancer","-","-","1","1","1","-","N/A","-","N/A","-","C","Pandart Studio","On Play","Look at the top 5 cards of your deck, reveal up to 1 Scorchweaver card and add it to your hand, then bottome deck the rest in any order.","N/A","-","The flames reveal what lies ahead, clear as glass.","-","-","Alpha","","-","",""
"AZK01-057","1","Lounge Siren, Saeko","Fire","Entity","Scorchweaver","-","-","1","1","1","-","Elementals","18362","N/A","-","C","Volta","Garden Only Ability","-","Start of Your Turn","You must deal 1 damage to a target entity in your Garden and a target entity in your opponent's Garden.","What's better than fire in a glass and peace on the couch?","-","-","Alpha","","-","",""
"AZK01-058","2","Black Jade Warlord","Fire","Entity","Black Jade","Blazerker","Invigorate","1","2","1","-","N/A","-","N/A","-","C","Pandart Studio","After Attacking","You may sacrifice this card: Give a leader or an entity in your Garden +2 attack until the end of the turn.","N/A","-","When the fight's done, only loyalty remains. I'll go down swinging for the Black Jade.","-","-","Alpha","","-","",""
"AZK01-059","2","Spice","Fire","Entity","Red Panda","Chef","Pyreskin","1","1","2","-","N/A","-","N/A","-","UC","Pandart Studio","Once/Turn","If this card takes damage, it gets +1 attack until the end of the turn.","N/A","-","Harvest time means flavor time, let's spice things up!","-","-","Alpha","","-","",""
"AZK01-060","5","Scarlett","Fire","Entity","Blazerker","-","-","2","3","2","-","Elementals","192","N/A","-","R","steamboy","Charge","-","When Attacking","You may give this card Infiltrate and +1 attack. If you do, you must sacrifice this card at the end of the turn.","-","Charge/Infiltrate","-","Alpha","","-","",""
"AZK01-061","3","Firebrand Renji","Fire","Entity","Pyreskin","-","-","1","1","3","-","Elementals","19698","N/A","-","UC","Volta","Once/Turn","When this card takes damage from 3 different damage sources in 1 turn, deal up to 3 damage to a leader or entity in any Garden.","N/A","-","Who needs paint when you've got fire and flair?","-","-","Alpha","","-","",""
"AZK01-062","3","Pekiro","Fire","Entity","Red Panda","Pyreskin","-","2","2","1","-","Elementals","12477","N/A","-","R","Hks","Once/Turn","If this card would take damage from an ability or spell, you may redirect that damage to another entity in any Garden.","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-063","6","Enzo","Fire","Entity","Chef","Scorchweaver","-","2","3","3","-","N/A","-","N/A","-","UC","Samuel Gildas","On Play in Garden Only","Deal up to 3 damage to a leader or an entity in any Garden.","N/A","-","Keep your wrist loose, and the flavor will follow. You gotta feel the heat, not fear it.","-","-","Alpha","","-","",""
"AZK01-064","8","Zero","Fire","Entity","Scorchweaver","Black Jade","-","2","7","7","-","Azuki","87","N/A","-","SR","Pandart Studio","N/A","When this card enters the Garden, deal 2 damage to tall entities in each player's Garden.","N/A","-","-","-","-","Alpha","","","",""
"AZK01-065","4","Fire Orb","Fire","Spell","Scorchweaver","Orb","-","","","","-","N/A","-","N/A","-","C","Volta","Main","Deal up to 5 damage to a leader or an entity in any Garden.","N/A","-","-","-","Spell","Alpha","","-","",""
"AZK01-066","5","Fire Storm","Fire","Spell","Scorchweaver","-","-","","","","-","N/A","Azuki #87*","N/A","-","UC","Samuel Gildas","Main","Deal 2 damage to all leaders and entities in each player's Garden.","N/A","-","-","-","Spell","Alpha","","-","",""
"STT01-001","-","Raizan","Lightning","Leader","Raizan","-","-","","","20","-","Azuki","131","N/A","-","L","Pandart Studio","Once/Turn","-","Charge","1 IKZ: Give an entity equipped with a Weapon card Charge","-","Charge","-","Alpha","","","",""
"STT01-002","-","Surge Gate","Lightning","Gate","Gate","-","-","","","","-","N/A","-","N/A","-","G","Ryder","N/A","Portal an untapped entity from the Alley into the Garden then you may play from your discard pile a Weapon card with a cost equal to or less than the GatePowerIcon of the portaled entity.","N/A","-","-","-","-","Alpha","","","",""
"STT01-003","1","Crate Rate Kurobo","Lightning","Entity","Black Jade","-","-","1","1","1","-","N/A","-","N/A","-","C","Pandart Studio","On Play","Put 3 cards from the top of your deck into your discard pile. If you have no Weapon cards in your discard pile when you activate this ability, put 5 cards instead.","N/A","-","-","-","-","Alpha","","-","",""
"STT01-004","1","Black Jade Recruit","Neutral","Entity","Black Jade","Dawnling","-","1","1","1","-","Azuki","27","N/A","-","C","Volta","On Play","You may discard a Weapon card: Look at the top 5 cards of your deck, reveal up to 1 Weapon card and add it to your hand, then bottom deck the rest in any order.","N/A","-","The world's mine to take, but a girl's gotta chill sometimes.","-","-","Alpha","","-","",""
"STT01-005","2","Alpine Prowler","Lightning","Entity","Bandit","-","-","2","1","1","-","Elementals","10410","N/A","-","C","Volta","Alley Only Ability","You may sacrifice this card: Draw 3 and discard 2.","N/A","-","Snow won't slow me down, not when trouble's this much fun!","-","-","Alpha","","-","",""
"STT01-006","2","Silver Current, Haruhi","Lightning","Entity","Elder","Monk","-","1","1","2","-","N/A","-","N/A","-","R","Pandart Studio","Once/Turn","-","When Attacking","Deal up to 1 damage to a leader or and entity in your opponent's Garden.","Pupils, watch and learn!","-","-","Alpha","","-","",""
"STT01-007","2","Alley Guy","Neutral","Entity","Dawnling","Alley Dweller","-","0","1","2","-","Azuki","101","N/A","-","C","Skycrow","On Play","You may discard 1: Draw 1.","N/A","-","-","-","-","Alpha","","-","",""
"STT01-008","3","Black Jade Crewleader","Lightning","Entity","Black Jade","Steelborn","-","1","2","2","-","Azuki","4","N/A","-","UC","DKANG!","N/A","When equipped with a Weapon card, this card has +1 attack","N/A","-","Let all of you remember the moment thunder took the crown.","-","-","Alpha","","-","",""
"STT01-009","4","Mastersmith Yamada","Lightning","Entity","Steelborn","-","-","2","2","2","-","N/A","-","N/A","-","UC","Pandart Studio","N/A","If there are more Weapon cards in your discard pile this card has +2 attack","N/A","-","Some build weapons with fire, I prefer something with a little more shock.","-","-","Alpha","","-","",""
"STT01-010","5","Indra","Lightning","Entity","Monk","Steelborn","-","3","3","2","-","Elementals","11714","N/A","-","R","steamboy","Charge","-","N/A","-","-","Charge","-","Alpha","","-","",""
"STT01-011","6","Raizan","Lightning","Entity","Raizan","Steelborn","-","4","4","3","-","Azuki","131","N/A","-","SR","Skycrow","N/A","As long as this card is in play, the card Ikazuchi has +5 attack instead of +4.","N/A","-","-","-","-","Alpha","","","",""
"STT01-012","1","Lightning Shuriken","Lightning","Weapon","Shuriken","Shadowfang","-","","","","1","N/A","-","N/A","-","C","Pandart Studio","When Attacking","Put the top card of your deck into your discard pile.","N/A","-","-","-","Weapon","Alpha","","-","",""
"STT01-013","1","Black Jade Dagger","Neutral","Weapon","Black Jade","Dagger","-","","","","1","N/A","-","N/A","-","C","Pandart Studio","When Equipping","You may deal 1 damage to your leader: This card gives an additional +1 attack.","N/A","-","-","-","Weapon","Alpha","","-","",""
"STT01-014","2","Tenshin","Neutral","Weapon","Sword","-","-","","","","2","N/A","-","N/A","-","C","Pandart Studio","When Equipping","Deal up to 1 damage to a leader.","N/A","-","-","-","Weapon","Alpha","","-","",""
"STT01-015","3","Tenraku","Neutral","Weapon","Sword","-","-","","","","3","N/A","-","N/A","-","UC","Pandart Studio","N/A","If you have 15 or more cards in your discard pile, this card gives an additional +1 attack.","N/A","-","-","-","Weapon","Alpha","","-","",""
"STT01-016","4","Ikazuchi","Lightning","Weapon","Raizan","Sword","-","","","","4","N/A","-","N/A","-","SR","Pandart Studio","When Attacking","If equipped to a Raizan card, deal 1 damage to all entities in your opponent's Garden.","N/A","-","-","-","Weapon","Alpha","","","",""
"STT01-017","1","Lightning Orb","Lightning","Spell","Stormcaller","Orb","-","","","","-","N/A","-","N/A","-","UC","Volta","Response","Deal up to 1 damage to an entity in your opponent's Garden and up to 1 damage to another entity in your opponent's Garden.","N/A","-","-","-","Response","Alpha","","-","",""
"STT02-001","-","Shao","Water","Leader","Shao","-","-","","","20","-","Azuki","187","N/A","-","L","Pandart Studio","Once/Turn","1 IKZ: Reduce a leader's or an entity's attack by 1 until the end of the turn.","N/A","-","-","-","-","Alpha","","","",""
"STT02-002","-","Hydromancy Gate","Water","Gate","Gate","-","-","","","","-","N/A","-","N/A","-","G","DKANG!","N/A","Portal an untapped entity from the Alley into the Garden, then you may untap IKZ up to the GatePowerIcon of the portaled card.","N/A","-","-","-","-","Alpha","","","",""
"STT02-003","1","Hayabusa Itto","Water","Entity","Elder","Sushi Chef","-","1","1","1","-","N/A","-","N/A","-","C","Pandart Studio","On Play","Look at the top 5 cards of your deck, reveal up to 1 Watercrafting card and add it to your hand, then bottom deck the rest in any order.","N/A","-","A good sushi chef knows how to cut. A great one knows when not to.","-","-","Alpha","","-","",""
"STT02-004","1","Rei","Neutral","Entity","Dawnling","-","-","0","1","2","-","N/A","-","N/A","-","C","Pandart Studio","N/A","-","N/A","-","In the Alley, no one makes it out clean. You just decide what kind of dirty you can live with.","-","-","Alpha","","-","",""
"STT02-005","1","Hayabusa Saburo","Water","Entity","Sushi Chef","-","-","1","1","1","-","N/A","-","N/A","-","UC","Pandart Studio","On Play","If you played 2 other entities this turn, draw 1.","N/A","-","Sensei, help me find the balance where power meets subtlety in the cut.","-","-","Alpha","","-","",""
"STT02-006","2","Foamback Crab","Water","Entity","Crab","Rippleborn","Driftward","1","0","1","-","N/A","-","N/A","-","C","Pandart Studio","Defender","This card cannot take damage from card effects.","N/A","-","-","Defender","-","Alpha","","-","",""
"STT02-007","2","Benzai the Merchant","Water","Entity","Frog","Wavecaller","-","0","1","2","-","N/A","-","N/A","-","C","Pandart Studio","On Play","Draw 1.","N/A","-","Every coin you toss into my pouch brings luck bouncing your way, I promise!","-","-","Alpha","","-","",""
"STT02-008","2","Serene Fist, Misaki","Water","Entity","Driftward","-","-","0","2","1","-","N/A","-","N/A","-","UC","Nohgo","N/A","This card cannot take damage from card effects.","N/A","-","-","-","-","Alpha","","-","",""
"STT02-009","3","Aya","Water","Entity","Watercrafting","Water Painter","-","1","1","2","-","N/A","-","N/A","-","C","Azuki Art Team","On Play","You may return an entity with a cost of 2 or more in your Garden to your hand: Return up to 1 entity with a cost of 2 or less in your opponent's Garden to its owner's hand.","N/A","-","-","-","-","Alpha","","-","",""
"STT02-010","3","Selis of the Shore","Water","Entity","Wavecaller","-","-","1","1","3","-","Elementals","1859","N/A","-","R","Soysauce","Garden Only Ability","When an entity is returned to its owner's hand, you may TapIcon this card, then draw 1. (This ability is not affected by Cooldown).","N/A","-","-","-","-","Alpha","","-","",""
"STT02-011","3","Bubblemancer","Water","Entity","Driftward","-","-","0","2","2","-","N/A","-","N/A","-","C","Pandart Studio","Garden Only Ability","You may sacrifice this card: Choose an entity in your Garden; iit cannot take damage from card effects until the start of your next turn.","N/A","-","-","-","-","Alpha","","-","",""
"STT02-012","4","Young Shao","Neutral","Entity","Shao","Dawnling","-","2","2","2","-","Azuki","187","N/A","-","UC","Pandart Studio","N/A","If the number of entities in your Garden is 2 or more than the number of entities in your opponent's Garden, this card has + attack and +1 health.","N/A","-","-","-","-","Alpha","","-","",""
"STT02-013","5","Mizuki","Water","Entity","Wavecaller","-","-","2","3","4","-","N/A","9195","N/A","-","SR","Pandart Studio","On Play","Look at the top 3 cards of your deck, reaveal up to 1 WaterElementIcon type card with a cost of 2 or less and add it to your hand, then bottom deck the rest in any order. You may play the card in the Alley if it is an entity card.","N/A","-","-","-","-","Alpha","","","",""
"STT02-014","1","Chilling Water","Water","Spell","Subzero","-","-","","","","-","N/A","-","N/A","-","C","Soysauce","Main","Choose an entity with a cost of 2 or less in your opponent's Garden; until the start of your next turn, it is Frozen.","N/A","-","-","Frozen","Spell","Alpha","","-","",""
"STT02-015","2","Commune with Water","Water","Spell","Watercrafting","-","-","","","","-","Elementals","16797","N/A","-","UC","Azuki Art Team","Response","Return an entity with a cost of 3 or less in any Garden to its owner's hand.","N/A","-","-","-","Response","Alpha","","-","",""
"STT02-016","1","Water Orb","Water","Spell","Driftward","Orb","-","","","","-","N/A","-","N/A","-","R","Volta","Response","Discard 1: Reduce a leader's or an entity's attack by 2 until the end of the turn.","N/A","-","-","-","Response","Alpha","","-","",""
